,0,1,2,3
# RRT,9.505337,13890.0,0.00063,10.330937
ABITstar,61.38623,39632.0,0.000642,10.14966
AITstar,60.034773,0.0,0.0,10.14966
BFMT,17.032462,23932.0,0.00064,9.389441
BITstar,61.516251,36740.0,0.000667,9.09904
BKPIECE1,4.651443,6990.0,0.000636,9.116117
BiEST,13.2531,20156.0,0.000625,9.071022
EST,43.361258,62629.0,0.000652,9.07942
FMT,20.128642,24935.0,0.000663,9.447133
InformedRRTstar,61.183028,75824.0,0.00066,9.366345
KPIECE1,61.684731,95527.0,0.000619,9.34483
KStarStrategy,61.686396,0.0,0.0,0.0
KStrategy,61.692365,0.0,0.0,0.0
LBKPIECE1,6.238302,9423.0,0.000634,9.378483
LBTRRT,61.229678,83239.0,0.000637,9.311034
LazyLBTRRT,61.472094,72362.0,0.000646,9.311034
LazyPRM,61.342381,3892.0,0.000666,9.309286
LazyPRMstar,61.460496,5762.0,0.000665,9.34328
LazyRRT,1.349074,2017.0,0.00063,9.409837
NearestNeighbors,1.35052,0.0,0.0,0.0
NearestNeighborsLinear,1.355762,0.0,0.0,0.0
NumNeighborsFn,1.357076,0.0,0.0,0.0
PDST,61.226163,92391.0,0.000628,9.225834
PRM,61.447721,84058.0,0.000656,9.241357
PRMstar,61.685807,86580.0,0.00065,9.2131
ProjEST,61.542339,92551.0,0.000637,9.211769
QRRT,61.543942,0.0,0.0,0.0
RRT,2.429556,3559.0,0.000651,9.669971
RRTConnect,1.384009,1902.0,0.000695,9.266211
RRTXstatic,61.654081,89935.0,0.000645,9.195166
RRTsharp,61.495057,89030.0,0.00065,9.317186
RRTstar,61.424029,65982.0,0.000671,9.296085
SBL,31.074035,46318.0,0.000642,9.221188
SORRTstar,61.315456,74296.0,0.000657,9.189849
SPARS,0.0,0.0,0.0,0.0
SPARStwo,0.0,0.0,0.0,0.0
SST,0.0,0.0,0.0,0.0
